stock_id,chief_name
600000,高国富
600004,邱嘉臣
600006,丁绍斌
600007,林明志
600008,刘永政
600009,贾锐军
600010,李德刚
600011,舒印彪
600012,乔传福
600015,李民吉
600016,洪崎
600017,王建波
600018,顾金山
600019,邹继新
600020,马沉重
600021,王运丹
600022,王向东
600023,孙玮恒
600025,袁湘华
600026,刘汉波
600027,王绪祥
600028,戴厚良
600029,王昌顺
600030,张佑君
600031,梁稳根
600033,陈岳峰
600035,王南军
600036,李建红
600037,郭章鹏
600038,曲景文
600039,孙云
600048,宋广菊
600050,王晓初
600051,李水荣
600052,张霞
600053,蔡蕾
600054,章德辉
600055,谢宇峰
600056,高渝文
600057,张水利
600058,刘青春
600059,钱肖华
600060,程开训
600061,叶柏寿
600062,冯毅
600063,吴福胜
600064,徐益民
600066,汤玉祥
600067,韩孝煌
600068,陈晓华
600069,顾琦
600070,赵林中
600071,刘翔
600072,周辉
600073,吴通红
600074,丁立红
600075,宋晓玲
600076,郭志先
600077,俞建午
600078,江永康
600079,王学海
600080,吴一坚
600081,陈兴林
600082,任宇
600083,汤永庐
600084,崔明宏
600085,高振坤
600086,张文风
600088,唐世鼎
600089,张新
600090,张美华
600091,李国春
600093,任子翔
600094,俞培俤
600095,史建明
600096,张文学
600097,谢峰
600098,伍竹林
600099,刘群
600100,周立业
600101,王更生
600103,张小强
600104,陈虹
600105,莫林弟
600106,江津
600107,陈京南
600108,李克华
600109,冉云
600110,陈立志
600111,赵殿清
600112,朱洪彬
600113,杨作军
600114,朱志荣
600115,刘绍勇
600116,叶建桥
600117,尹良求
600118,张洪太
600119,居亮
600120,金朝萍
600121,于泽阳
600122,廖帆
600123,李晓明
600125,--
600126,吴东明
600127,全臻
600128,吴廷昌
600129,李阳春
600130,徐立华
600131,吴耕
600132,Roland Arthur Lawrence(罗磊)
600133,杨涛
600135,滕方迁
600136,易仁涛
600137,翁荣弟
600138,康国明
600139,夏勇
600141,李国璋
600143,袁志敏
600145,黄伟
600146,罗俊
600148,于中赤
600149,王大为
600150,雷凡培
600151,张建功
600152,何承命
600153,张勇峰
600155,陶永泽
600156,杨洁
600157,王广西
600158,王卫东
600159,马云虎
600160,胡仲明
600161,杨晓明
600162,翟美卿
600163,张骏
600165,高小平
600166,张夕勇
600167,苏壮强
600168,黄思
600169,王创民
600170,徐征
600171,董浩然
600172,乔秋生
600173,陈嫣妮
600175,闻掌华
600176,曹江林
600177,李如成
600178,陈笠宝
600179,郑少平
600180,燕刚
600182,李怀靖
600183,刘述峰
600184,李克炎
600185,鲁君四
600186,王维法
600187,尹峻
600188,李希勇
600189,姜长龙
600190,徐健
600191,宋卫东
600192,张志明
600193,翟金水
600195,王建成
600196,"陈启宇,姚方"
600197,陈智
600198,黄志勤
600199,宁中伟
600200,赵唯一
600201,张翀宇
600202,刘铭山
600203,卞志航
600206,熊柏青
600207,何毅敏
600208,林俊波
600209,高松
600210,沈雯
600211,陈达彬
600212,杨智刚
600213,钱栋
600215,吴锦华
600216,李春波
600217,管爱国
600218,谢力
600219,程仁策
600220,陈丽芬
600221,徐军
600222,李景亮
600223,董红林
600225,阎鹏
600226,沈培今
600227,丁林洪
600228,李季
600229,王为达
600230,谢华生
600231,文广
600232,傅国定
600233,喻会蛟
600234,徐啟瑞
600235,曹继华
600236,王森
600237,唐忠民
600238,冯彪
600239,杨涛
600240,余威
600241,罗卫明
600242,--
600243,于世光
600246,江泓毅
600247,方项
600248,高建成
600249,林钻煌
600250,徐德健
600251,刘中海
600252,焦明
600255,宋志刚
600256,吴晓勇
600257,罗订坤
600258,周红(代)
600259,吴泽林
600260,朱弟雄
600261,陈卫
600262,高汝森
600265,程霄
600266,陈代华
600267,蒋国平
600268,王凤蛟
600269,王国强
600271,马天晖
600272,庄虔赟
600273,管建忠
600275,高士庆
600276,孙飘扬
600277,王文彪
600278,季胜君
600279,杨昌学
600280,祝珺
600281,赵英杰
600282,黄一新
600283,叶建桥
600284,--
600285,熊伟
600287,高松
600288,鲁勇志
600289,田绪文
600290,陈孟列
600291,郭予丰
600292,郑武生
600293,许锡忠
600295,王臻
600297,李建平
600298,熊涛
600299,郝志刚
600300,杨启典
600301,周小溪
600302,杜俊康
600303,胡新文
600305,张玉宏
600306,王奇
600307,阮强
600308,李晓亮
600309,廖增太
600310,秦敏
600311,刘永
600312,成卫
600313,刘辉
600315,张东方
600316,洪蛟
600317,司政
600318,吴昊
600319,韩海滨
600320,朱连宇
600321,何延龙
600322,郭维成
600323,林耀棠
600325,李光宁
600326,多吉罗布
600327,高兵华
600328,李德禄
600329,李立群
600330,潘建清
600331,黄建军
600332,李楚源
600333,张志超
600335,陈有权
600336,李蔚
600337,寇卫平
600338,黄建荣
600339,白玉光
600340,王文学
600343,周利民
600345,夏存海
600346,范红卫
600348,杨乃时
600350,赛志毅
600351,任武贤
600352,阮伟祥
600353,刘卫东
600354,马宗海
600355,张学阳
600356,徐祥
600358,曾少雄
600359,白宏本
600360,夏增文
600361,陈琳
600362,龙子平
600363,曾智斌
600365,何为民
600366,竺晓东
600367,郭汉光
600368,周异助
600369,廖庆轩
600370,卞惠良
600371,管大源
600372,张昆辉
600373,赵东亮
600375,刘汉如
600376,李岩
600377,顾德军
600378,胡冬晨
600379,李军望
600380,朱保国
600381,张雪峰
600382,张坚力
600383,凌克
600385,林云
600386,王春杰
600387,邱国良
600388,何媚
600389,薛健
600390,任珠峰
600391,杨育武
600392,胡泽松
600393,杨树坪
600395,易国晶
600396,李延群
600397,熊腊元
