company_name,stock_id,stock_name,industry_name,legal_person_name,chief_name,area_name,law_office_name,stock_price,share_holder,leader
上海浦东发展银行股份有限公司,600000,浦发银行,银行,高国富,高国富,上海,上海市锦天城律师事务所,10.00,"['上海国际集团有限公司', '中国移动通信集团广东有限公司', '富德生命人寿保险股份有限公司-传统', '富德生命人寿保险股份有限公司-资本金', '上海上国投资产管理有限公司', '中国证券金融股份有限公司', '富德生命人寿保险股份有限公司-万能H', '上海国鑫投资发展有限公司', '梧桐树投资平台有限责任公司', '香港中央结算有限公司']","['陈必昌', '蔡洪平', '耿光新', '袁志刚', '夏冰', '崔炳文', '陈世敏', '高国富', '王喆', '孙建平', '谢伟', '刘以研', '管蔚', '张鸣', '李庆丰', '徐海燕', '潘卫东', '陈正安', '傅帆', '王新浩', '赵久苏', '孙伟', '潘卫东', '吴国元']"
广州白云国际机场股份有限公司,600004,白云机场,民航机场,邱嘉臣,邱嘉臣,广东,北京市奋迅律师事务所,5.88,"['广东省机场管理集团有限公司', '香港中央结算有限公司', '中国银行股份有限公司-易方达中小盘混合型证券投资基金', '中央汇金资产管理有限责任公司', 'UBS AG', '易方达基金管理有限公司-社保基金1104组合', '招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金', '全国社保基金一零一组合', '全国社保基金一一五组合', '全国社保基金一零九组合']","['邱嘉臣', '饶品贵', '谢泽煌', '马心航', '谢冰心', '莫名贞', '武宇', '黄浩', '张克俭', '袁海文', '邱嘉臣', '于洪才', '王晓勇', '刘建强', '许汉忠', '毕井双', '梁慧', '戚耀明', '关易波']"
东风汽车股份有限公司,600006,东风汽车,汽车行业,丁绍斌,丁绍斌,湖北,北京市通商律师事务所,5.10,"['东风汽车有限公司', '中央汇金资产管理有限责任公司', '招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金', '中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金', '中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金', '杭州鑫汇添投资有限公司', '中国证券金融股份有限公司', '薛雷', '中国工商银行股份有限公司-银华中证央企结构调整交易型开放式指数证券投资基金', '申永坤']","['李祥平', '陈彬', '李争荣', '刘耀平', '丁绍斌', '胡卫东', '何伟', '张志宏', '周晓伏', '樊启才', '柯钢', '侯世国', '李克强', '李军', '陈彬', '弗朗索瓦·拜伊', '张斌']"
中国国际贸易中心股份有限公司,600007,中国国贸,房地产,林明志,林明志,北京,北京大成律师事务所,5.46,"['中国国际贸易中心有限公司', '香港中央结算有限公司', '顾青', '安本标准投资管理(亚洲)有限公司-安本标准-中国A股股票基金', '易方达基金管理有限公司-社保基金1104组合', '吴宝珍', '朱金妹', '顾国绵', '吴悦', '徐嫣婷']","['陈延平', '马蔚华', '王义杰', '任亚光', '林明志', '栾日成', '翟中联', '高燕', '任克雷', '尹锦滔', '邢诒鋕', '郭惠光', '吴积民', '黄小抗', '林南春', '金玉英', '唐炜', '钟荣明', '王京京']"
北京首创股份有限公司,600008,首创股份,公用事业,刘永政,刘永政,北京,北京天达共和律师事务所,8.98,"['北京首都创业集团有限公司', '汇祥(天津)资产管理有限公司-汇祥资产鼎盛2号私募投资基金', '中国证券金融股份有限公司', '财通基金-农业银行-财通基金-玉泉878号资产管理计划', '昆仑信托有限责任公司', '上海上国投资产管理有限公司', '北京京国瑞国企改革发展基金(有限合伙)', '建投拓安(安徽)股权投资管理有限公司-中德制造业(安徽)投资基金(有限合伙)', '汇安基金-民生银行-汇安基金-汇盈7号资产管理计划', '泰达宏利基金-民生银行-泰达宏利价值成长定向增发780号资产管理计划']","['邢俊义', '王瑞林', '张萌', '王征戍', '冯涛', '谢元祥', '杨斌', '杨斌', '苗艇', '李章', '曲久辉', '孙少林', '赵昕', '刘永政', '石祥臣', '郝春梅', '刘俏', '邵丽', '孟焰', '江瀚', '车丕照', '郭雪飞']"
上海国际机场股份有限公司,600009,上海机场,民航机场,贾锐军,贾锐军,上海,上海市锦天城律师事务所,6.41,"['上海机场(集团)有限公司', '香港中央结算有限公司', '中国证券金融股份有限公司', '中央汇金资产管理有限责任公司', '马来西亚国家银行', '中国银行股份有限公司-易方达中小盘混合型证券投资基金', '易方达资产管理(香港)有限公司-客户资金(交易所)', '安本标准投资管理(亚洲)有限公司-安本标准-中国A股股票基金', '中国建设银行股份有限公司-易方达新丝路灵活配置混合型证券投资基金', '中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金']","['宋海文', '杨鹏', '胡稚鸿', '何万篷', '尤建新', '刘红', '胡稚鸿', '莘澍钧', '张敏求', '李颖琦', '董卫', '林建海', '王旭', '唐波', '黄铮霖', '邵百俭', '贾锐军', '黄晔', '刘绍杰', '斯晓鲁']"
内蒙古包钢钢联股份有限公司,600010,包钢股份,钢铁行业,李德刚,李德刚,内蒙古,内蒙古建中律师事务所,5.18,"['包头钢铁(集团)有限责任公司', '国华人寿保险股份有限公司-自有资金', '中国证券金融股份有限公司', '上海六禾丁香投资中心(有限合伙)', '宁波理家盈贸易有限公司', '中央汇金资产管理有限责任公司', '刘英辉', '华安资产管理(香港)有限公司-客户资金专户1号(交易所)', '香港中央结算有限公司', '苏俊丰']","['邹彦春', '石凯', '董方', '齐宏涛', '刘振刚', '翟金杰', '孙浩', '吴振平', '张世潮', '白宝生', '王胜平', '郝志忠', '周远平', '郎吉龙', '陈桂荣', '白宝生', '程名望', '邢立广', '刘玉峰', '梁倩倩', '宋龙堂', '于长志', '刘振刚', '李晓', '张小平', '李晓', '张卫江', '成永久', '郝润宝', '李德刚']"
华能国际电力股份有限公司,600011,华能国际,电力行业,舒印彪,舒印彪,北京,"北京市海问律师事务所,史密夫斐尔律师事务所,世达国际律师事务所",7.95,"['华能国际电力开发公司', '香港中央结算(代理人)有限公司', '中国华能集团有限公司', '河北建设投资集团有限责任公司', '中国证券金融股份有限公司', '中国华能集团香港有限公司', '江苏省投资管理有限责任公司', '福建省投资开发集团有限责任公司', '辽宁能源投资(集团)有限责任公司', '大连市建设投资集团有限公司']","['岳衡', '黄坚', '黄朝全', '刘冉星', '张先治', '程衡', '周晖', '吴森荣', '叶向东', '刘吉臻', '张羡程', '林崇', '张晓军', '徐孟洲', '顾建国', '赵克宇', '赵平', '徐海锋', '宋志毅', '郭洪波', '舒印彪', '穆烜', '李建民', '王永祥', '米大斌', '张梦娇']"
安徽皖通高速公路股份有限公司,600012,皖通高速,高速公路,乔传福,乔传福,安徽,安徽安泰达律师事务所,2.20,"['安徽省交通控股集团有限公司', 'HKSCC NOMINEES LIMITED', '招商局公路网络科技控股股份有限公司', '香港中央结算有限公司', '丁秀玲', '钦建华', '全国社保基金一一六组合', '万华强', '中信银行股份有限公司-建信中证500指数增强型证券投资基金', '中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金']","['姜越', '李会民', '谢新宇', '陈大峰', '董汇慧', '乔传福', '许振', '姜军', '谢新宇', '许振', '戴辉', '江一帆', '杜渐', '刘浩', '陈玉萍', '陈季平', '杨旭东']"
华夏银行股份有限公司,600015,华夏银行,银行,李民吉,李民吉,北京,北京天达共和律师事务所,5.60,"['首钢集团有限公司', '国网英大国际控股集团有限公司', '中国人民财产保险股份有限公司', '北京市基础设施投资有限公司', '云南合和(集团)股份有限公司', '中国证券金融股份有限公司', '润华集团股份有限公司', '华夏人寿保险股份有限公司-万能保险产品', '中央汇金资产管理有限责任公司', '香港中央结算有限公司']","['武常岐', '肖微', '王化成', '谢一群', '马晓燕', '李民吉', '王立英', '杨伟', '罗乾宜', '李琦', '于长春', '李连刚', '宋继清', '张健华', '杨德林', '陈永宏', '孙彤军', '任永光', '邹立宾', '田英', '张健华', '成燕红', '马元驹', '曾湘泉', '任永光', '刘春华', '李岷', '王耀庭', '李剑波', '林新', '祝卫', '张巍', '王洪军', '王一平', '关文杰']"
中国民生银行股份有限公司,600016,民生银行,银行,洪崎,洪崎,北京,"国浩律师(北京)事务所,香港高伟绅律师行",11.80,"['香港中央结算(代理人)有限公司', '安邦人寿保险股份有限公司-保守型投资组合', '安邦人寿保险股份有限公司-稳健型投资组合', '中国泛海控股集团有限公司', '新希望六和投资有限公司', '上海健特生命科技有限公司', '华夏人寿保险股份有限公司-万能保险产品', '中国船东互保协会', '东方集团股份有限公司', '中国证券金融股份有限公司']","['张博', '白丹', '田溯宁', '李汉成', '刘纪鹏', '郑万春', '史玉柱', '张宏伟', '陈琼', '王航', '卢志强', '刘宁宇', '林云山', '解植春', '张俊潼', '鲁钟男', '包季鸣', '宋春风', '王家智', '彭雪峰', '翁振杰', '石杰', '郭栋', '胡庆华', '王玉贵', '吴迪', '洪崎', '赵富高', '郑万春', '李彬', '刘永好']"
