stock_id,share_holder_company
600000,上海国际集团有限公司
600000,中国移动通信集团广东有限公司
600000,富德生命人寿保险股份有限公司-传统
600000,富德生命人寿保险股份有限公司-资本金
600000,上海上国投资产管理有限公司
600000,中国证券金融股份有限公司
600000,富德生命人寿保险股份有限公司-万能H
600000,上海国鑫投资发展有限公司
600000,梧桐树投资平台有限责任公司
600000,香港中央结算有限公司
600004,广东省机场管理集团有限公司
600004,香港中央结算有限公司
600004,中国银行股份有限公司-易方达中小盘混合型证券投资基金
600004,中央汇金资产管理有限责任公司
600004,UBS AG
600004,易方达基金管理有限公司-社保基金1104组合
600004,招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金
600004,全国社保基金一零一组合
600004,全国社保基金一一五组合
600004,全国社保基金一零九组合
600006,东风汽车有限公司
600006,中央汇金资产管理有限责任公司
600006,招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
600006,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600006,中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
600006,杭州鑫汇添投资有限公司
600006,中国证券金融股份有限公司
600006,薛雷
600006,中国工商银行股份有限公司-银华中证央企结构调整交易型开放式指数证券投资基金
600006,申永坤
600007,中国国际贸易中心有限公司
600007,香港中央结算有限公司
600007,顾青
600007,安本标准投资管理(亚洲)有限公司-安本标准-中国A股股票基金
600007,易方达基金管理有限公司-社保基金1104组合
600007,吴宝珍
600007,朱金妹
600007,顾国绵
600007,吴悦
600007,徐嫣婷
600008,北京首都创业集团有限公司
600008,汇祥(天津)资产管理有限公司-汇祥资产鼎盛2号私募投资基金
600008,中国证券金融股份有限公司
600008,财通基金-农业银行-财通基金-玉泉878号资产管理计划
600008,昆仑信托有限责任公司
600008,上海上国投资产管理有限公司
600008,北京京国瑞国企改革发展基金(有限合伙)
600008,建投拓安(安徽)股权投资管理有限公司-中德制造业(安徽)投资基金(有限合伙)
600008,汇安基金-民生银行-汇安基金-汇盈7号资产管理计划
600008,泰达宏利基金-民生银行-泰达宏利价值成长定向增发780号资产管理计划
600009,上海机场(集团)有限公司
600009,香港中央结算有限公司
600009,中国证券金融股份有限公司
600009,中央汇金资产管理有限责任公司
600009,马来西亚国家银行
600009,中国银行股份有限公司-易方达中小盘混合型证券投资基金
600009,易方达资产管理(香港)有限公司-客户资金(交易所)
600009,安本标准投资管理(亚洲)有限公司-安本标准-中国A股股票基金
600009,中国建设银行股份有限公司-易方达新丝路灵活配置混合型证券投资基金
600009,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
600010,包头钢铁(集团)有限责任公司
600010,国华人寿保险股份有限公司-自有资金
600010,中国证券金融股份有限公司
600010,上海六禾丁香投资中心(有限合伙)
600010,宁波理家盈贸易有限公司
600010,中央汇金资产管理有限责任公司
600010,刘英辉
600010,华安资产管理(香港)有限公司-客户资金专户1号(交易所)
600010,香港中央结算有限公司
600010,苏俊丰
600011,华能国际电力开发公司
600011,香港中央结算(代理人)有限公司
600011,中国华能集团有限公司
600011,河北建设投资集团有限责任公司
600011,中国证券金融股份有限公司
600011,中国华能集团香港有限公司
600011,江苏省投资管理有限责任公司
600011,福建省投资开发集团有限责任公司
600011,辽宁能源投资(集团)有限责任公司
600011,大连市建设投资集团有限公司
600012,安徽省交通控股集团有限公司
600012,HKSCC NOMINEES LIMITED
600012,招商局公路网络科技控股股份有限公司
600012,香港中央结算有限公司
600012,丁秀玲
600012,钦建华
600012,全国社保基金一一六组合
600012,万华强
600012,中信银行股份有限公司-建信中证500指数增强型证券投资基金
600012,中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
600015,首钢集团有限公司
600015,国网英大国际控股集团有限公司
600015,中国人民财产保险股份有限公司
600015,北京市基础设施投资有限公司
600015,云南合和(集团)股份有限公司
600015,中国证券金融股份有限公司
600015,润华集团股份有限公司
600015,华夏人寿保险股份有限公司-万能保险产品
600015,中央汇金资产管理有限责任公司
600015,香港中央结算有限公司
600016,香港中央结算(代理人)有限公司
600016,安邦人寿保险股份有限公司-保守型投资组合
600016,安邦人寿保险股份有限公司-稳健型投资组合
600016,中国泛海控股集团有限公司
600016,新希望六和投资有限公司
600016,上海健特生命科技有限公司
600016,华夏人寿保险股份有限公司-万能保险产品
600016,中国船东互保协会
600016,东方集团股份有限公司
600016,中国证券金融股份有限公司
600017,日照港集团有限公司
600017,兖矿集团有限公司
600017,淄博矿业集团有限责任公司
600017,中央汇金资产管理有限责任公司
600017,香港中央结算有限公司
600017,日照港集团岚山港务有限公司
600017,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600017,河南济源钢铁(集团)有限公司
600017,邯郸钢铁集团有限责任公司
600017,山钢金控资产管理(深圳)有限公司
600018,上海市国有资产监督管理委员会
600018,亚吉投资有限公司
600018,中国远洋海运集团有限公司
600018,上海同盛投资(集团)有限公司
