stock_id,industry_name
600000,银行
600004,民航机场
600006,汽车行业
600007,房地产
600008,公用事业
600009,民航机场
600010,钢铁行业
600011,电力行业
600012,高速公路
600015,银行
600016,银行
600017,港口水运
600018,港口水运
600019,钢铁行业
600020,高速公路
600021,电力行业
600022,钢铁行业
600023,电力行业
600025,电力行业
600026,港口水运
600027,电力行业
600028,石油行业
600029,民航机场
600030,券商信托
600031,机械行业
600033,高速公路
600035,高速公路
600036,银行
600037,文化传媒
600038,航天航空
600039,工程建设
600048,房地产
600050,电信运营
600051,综合行业
600052,房地产
600053,多元金融
600054,旅游酒店
600055,医疗行业
600056,医药制造
600057,交运物流
600058,国际贸易
600059,酿酒行业
600060,家电行业
600061,券商信托
600062,医药制造
600063,化纤行业
600064,房地产
600066,汽车行业
600067,房地产
600068,工程建设
600069,造纸印刷
600070,纺织服装
600071,仪器仪表
600072,船舶制造
600073,食品饮料
600074,安防设备
600075,化工行业
600076,木业家具
600077,房地产
600078,化肥行业
600079,医药制造
600080,医药制造
600081,汽车行业
600082,房地产
600083,工程建设
600084,酿酒行业
600085,医药制造
600086,珠宝首饰
600088,文化传媒
600089,输配电气
600090,医疗行业
600091,化工行业
600093,多元金融
600094,房地产
600095,房地产
600096,化肥行业
600097,农牧饲渔
600098,电力行业
600099,交运设备
600100,电子信息
600101,电力行业
600103,造纸印刷
600104,汽车行业
600105,通讯行业
600106,高速公路
600107,纺织服装
600108,农牧饲渔
600109,券商信托
600110,材料行业
600111,有色金属
600112,输配电气
600113,综合行业
600114,金属制品
600115,民航机场
600116,电力行业
600117,钢铁行业
600118,航天航空
600119,交运物流
600120,国际贸易
600121,煤炭采选
600122,商业百货
600123,煤炭采选
600125,交运物流
600126,钢铁行业
600127,农牧饲渔
600128,国际贸易
600129,医药制造
600130,通讯行业
600131,电力行业
600132,酿酒行业
600133,工程建设
600135,材料行业
600136,文化传媒
600137,纺织服装
600138,旅游酒店
600139,多元金融
600141,化工行业
600143,塑胶制品
600145,玻璃陶瓷
600146,纺织服装
600148,汽车行业
600149,国际贸易
600150,船舶制造
600151,电子元件
600152,电子元件
600153,交运物流
600155,券商信托
600156,纺织服装
600157,煤炭采选
600158,文教休闲
600159,房地产
600160,化工行业
600161,医药制造
600162,房地产
600163,电力行业
600165,金属制品
600166,汽车行业
600167,电力行业
600168,公用事业
600169,机械行业
600170,工程建设
600171,电子元件
