stock_id,law_office_name
600000,上海市锦天城律师事务所
600004,北京市奋迅律师事务所
600006,北京市通商律师事务所
600007,北京大成律师事务所
600008,北京天达共和律师事务所
600009,上海市锦天城律师事务所
600010,内蒙古建中律师事务所
600011,"北京市海问律师事务所,史密夫斐尔律师事务所,世达国际律师事务所"
600012,安徽安泰达律师事务所
600015,北京天达共和律师事务所
600016,"国浩律师(北京)事务所,香港高伟绅律师行"
600017,北京长安律师事务所
600018,上海市金茂律师事务所
600019,上海市方达律师事务所
600020,北京市嘉源律师事务所
600021,北京市中咨律师事务所
600022,山东齐鲁律师事务所
600023,浙江天册律师事务所
600025,北京市海问律师事务所
600026,国浩律师(上海)事务所
600027,北京市海问律师事务所
600028,北京市海问律师事务所
600029,"广东正平天成律师事务所,欧华律师事务所"
600030,北京德恒律师事务所
600031,湖南启元律师事务所
600033,福建至理律师事务所
600035,湖北首义律师事务所
600036,"北京市君合(深圳)律师事务所,史密夫·斐尔律师事务所"
600037,北京市中银律师事务所
600038,北京市嘉源律师事务所
600039,北京康达(成都)律师事务所
600048,北京德恒律师事务所
600050,北京市通商律师事务所
600051,浙江波宁律师事务所
600052,浙江天册律师事务所
600053,北京大成律师事务所
600054,安徽天禾律师事务所
600055,北京市君合律师事务所
600056,北京市竞天公诚律师事务所
600057,福建天衡联合律师事务所
600058,北京中博律师事务所
600059,上海市锦天城律师事务所
600060,北京德和衡律师事务所
600061,北京天达共和律师事务所
600062,北京李伟斌律师事务所
600063,上海市通力律师事务所
600064,国浩律师(南京)事务所
600066,北京市通商律师事务所
600067,北京大成(福州)律师事务所
600068,湖北首义律师事务所
600069,河南陆达律师事务所
600070,国浩律师(杭州)事务所
600071,国浩律师(上海)事务所
600072,上海市上正律师事务所
600073,北京颐合中鸿(上海)律师事务所
600074,北京国枫(深圳)律师事务所
600075,新疆天阳律师事务所
600076,北京雍行律师事务所
600077,上海市锦天城律师事务所
600078,北京国枫律师事务所
600079,湖北山河律师事务所
600080,北京市嘉源律师事务所
600081,上海市金茂律师事务所
600082,天津渤海律师事务所
600083,广东广大律师事务所
600084,新疆天阳律师事务所
600085,北京海润天睿律师事务所
600086,国浩律师(武汉)事务所
600088,广东广大律师事务所
600089,新疆天阳律师事务所
600090,北京德恒律师事务所
600091,北京市中伦律师事务所
600093,云南凌云律师事务所
600094,上海市上正律师事务所
600095,黑龙江鸿旭律师事务所
600096,北京德恒(昆明)律师事务所
600097,国浩律师(上海)事务所
600098,广州金鹏律师事务所
600099,江苏世纪同仁律师事务所
600100,北京市天元律师事务所
600101,北京康达(成都)律师事务所
600103,福建至理律师事务所
600104,中豪律师集团(上海)事务所
600105,江苏竹辉律师事务所
600106,北京市中伦(重庆)律师事务所
600107,湖北安格律师事务所
600108,甘肃玉榕律师事务所
600109,北京市金杜律师事务所
600110,国浩律师(上海)事务所
600111,内蒙古建中律师事务所
600112,北京市中伦(重庆)律师事务所
600113,浙江天册律师事务所
600114,上海市锦天城律师事务所
600115,北京市通商律师事务所
600116,重庆源伟律师事务所
600117,青海捷传律师事务所
600118,北京市天元律师事务所
600119,上海市万联律师事务所
600120,浙江天册律师事务所
600121,河南金苑律师事务所
600122,江苏高的律师事务所
600123,中勤律师事务所
600125,北京德恒律师事务所
600126,国浩律师(杭州)事务所
600127,湖南启元律师事务所
600128,国浩律师(南京)事务所
600129,北京市中银(成都)律师事务所
600130,北京炜衡(宁波)律师事务所
600131,北京大成(成都)律师事务所
600132,北京市中伦(重庆)律师事务所
600133,北京市君泽君(上海)律师事务所
600135,北京金诚同达律师事务所
600136,北京达晓律师事务所
600137,浙江现代阳光律师事务所
600138,北京市中永律师事务所
600139,北京康达(成都)律师事务所
600141,北京中伦(武汉)律师事务所
600143,广东南国德赛律师事务所
600145,新疆天阳律师事务所
600146,上海宏仑宇君律师事务所
600148,吉林功承律师事务所
600149,北京德恒律师事务所
600150,万商天勤(上海)律师事务所
600151,上海市通力律师事务所
600152,浙江和义观达律师事务所
600153,福建天衡联合律师事务所
600155,北京德恒律师事务所
600156,湖南湘楚律师事务所
600157,上海市锦天城律师事务所
600158,北京市金杜律师事务所
600159,北京海润天睿律师事务所
600160,国浩律师(杭州)事务所
600161,北京市嘉源律师事务所
600162,北京国枫(深圳)律师事务所
600163,北京大成(福州)律师事务所
600165,北京大成(银川)律师事务所
600166,北京市中伦律师事务所
600167,北京德恒律师事务所
600168,湖北瑞通天元律师事务所
600169,山西德为律师事务所
600170,金茂凯德律师事务所
600171,国浩律师(上海)事务所
600172,河南世纪通律师事务所
600173,北京市金杜律师事务所
600175,国浩律师(杭州)事务所
600176,北京市嘉源律师事务所
600177,浙江和义观达律师事务所
600178,黑龙江江铭律师事务所
600179,北京市金杜律师事务所
600180,北京市中伦律师事务所
600182,上海市方达律师事务所
600183,广东中信协诚律师事务所
600184,陕西岚光律师事务所
600185,广东莱特律师事务所
600186,河南陆达律师事务所
600187,上海市通力律师事务所
600188,北京市金杜律师事务所
600189,吉林今典律师事务所
600190,北京德恒律师事务所
600191,北京市君致律师事务所
600192,甘肃正天合律师事务所
600193,上海市上正律师事务所
600195,北京金诚同达律师事务所
600196,"国浩律师(上海)事务所,礼德齐伯礼律师事务所"
600197,新疆天阳律师事务所
600198,北京市君泽君律师事务所
600199,安徽天禾律师事务所
600200,北京市天银律师事务所
600201,经世律师事务所
600202,黑龙江仁大律师事务所
600203,福建闽天律师事务所
600206,北京市汉达律师事务所
600207,大沧海律师事务所
600208,国浩律师(杭州)事务所
600209,北京市竞天公诚律师事务所
600210,国浩律师(上海)事务所
600211,四川良禾律师事务所
600212,北京市盈科(深圳)律师事务所
600213,国浩律师(南京)事务所
600215,吉林超远律师事务所
600216,国浩律师(上海)事务所
600217,北京市中伦文德律师事务所
600218,安徽承义律师事务所
600219,北京市浩天信和律师事务所
