stock_id,stock_name,stock_price
600000,浦发银行,10.00
600004,白云机场,5.88
600006,东风汽车,5.10
600007,中国国贸,5.46
600008,首创股份,8.98
600009,上海机场,6.41
600010,包钢股份,5.18
600011,华能国际,7.95
600012,皖通高速,2.20
600015,华夏银行,5.60
600016,民生银行,11.80
600017,日照港,4.70
600018,上港集团,3.67
600019,宝钢股份,4.18
600020,中原高速,6.36
600021,上海电力,5.80
600022,山东钢铁,6.36
600023,浙能电力,5.53
600025,华能水电,2.17
600026,中远海能,2.36
600027,华电国际,2.52
600028,中国石化,4.22
600029,南方航空,2.70
600030,中信证券,4.50
600031,三一重工,15.56
600033,福建高速,6.66
600035,楚天高速,3.00
600036,招商银行,7.30
600037,歌华有线,15.50
600038,中直股份,7.85
600039,四川路桥,6.87
600048,保利地产,13.95
600050,中国联通,2.30
600051,宁波联合,11.78
600052,浙江广厦,5.70
600053,九鼎投资,5.60
600054,黄山旅游,6.02
600055,万东医疗,8.54
600056,中国医药,7.02
600057,厦门象屿,4.43
600058,五矿发展,8.52
600059,古越龙山,8.84
600060,海信电器,6.28
600061,国投资本,6.20
600062,华润双鹤,6.69
600063,皖维高新,6.15
600064,南京高科,7.84
600066,宇通客车,9.75
600067,冠城大通,100.00
600068,葛洲坝,6.00
600069,银鸽投资,4.62
600070,浙江富润,3.77
600071,凤凰光学,5.60
600072,中船科技,5.37
600073,上海梅林,4.00
600074,*ST保千,6.63
600075,新疆天业,6.53
600076,康欣新材,5.60
600077,宋都股份,5.18
600078,澄星股份,5.80
600079,人福医药,5.22
600080,金花股份,6.16
600081,东风科技,7.55
600082,海泰发展,5.18
600083,博信股份,6.05
600084,*ST中葡,7.84
600085,同仁堂,7.08
600086,东方金钰,6.04
600088,中视传媒,7.95
600089,特变电工,5.19
600090,同济堂,4.05
600091,ST明科,5.28
600093,易见股份,8.05
600094,大名城,7.04
600095,哈高科,5.78
600096,云天化,6.21
600097,开创国际,6.61
600098,广州发展,7.87
600099,林海股份,6.09
600100,同方股份,8.28
600101,明星电力,1.00
600103,青山纸业,5.16
600104,上汽集团,7.02
600105,永鼎股份,7.10
600106,重庆路桥,5.40
600107,美尔雅,8.10
600108,亚盛集团,6.06
600109,国金证券,2.20
600110,诺德股份,7.52
600111,北方稀土,4.43
600112,ST天成,4.31
600113,浙江东日,5.75
600114,东睦股份,10.00
600115,东方航空,2.45
600116,三峡水利,6.38
600117,西宁特钢,5.80
600118,中国卫星,5.28
600119,*ST长投,4.76
600120,浙江东方,7.56
600121,郑州煤电,5.50
